TransactionID,CustomerID,ProductID,TransactionDate,Quantity,TotalValue,Price,TransactionDay,TransactionTime,TransactionMonth,Transaction_TimePeriod,ProductName,Category,CustomerName,Region,SignupDate,AvgTransactionValue,DaysSinceLastTransaction,UniqueProductsPurchased,FavProduct,FavCategory,MostActiveTransactionDay,PeakTransactionTime
T00270,C0101,P034,2024-11-07,3,651.15,217.05,Thursday,02:48:08,November,Evening,HomeSense T-Shirt,Clothing,Kelsey Roberts,Asia,2023-09-30,693.87375,30.0,7.0,P015,Books,Saturday,Evening
T00358,C0154,P034,2024-04-08,1,217.05,217.05,Monday,20:47:01,April,Evening,HomeSense T-Shirt,Clothing,Robert Sharp,North America,2024-10-27,617.2683333333333,130.0,6.0,P008,Electronics,Monday,Afternoon
T00518,C0200,P034,2024-12-11,4,868.2,217.05,Wednesday,03:05:50,December,Evening,HomeSense T-Shirt,Clothing,Kelly Cross,Asia,2023-06-11,951.72,47.0,5.0,P034,Clothing,Monday,Evening
T00546,C0049,P034,2024-08-30,1,217.05,217.05,Friday,06:42:27,August,Morning,HomeSense T-Shirt,Clothing,Jason Yates,North America,2024-09-18,289.435,150.0,8.0,P027,Clothing,Monday,Evening
T00982,C0103,P034,2024-07-17,1,217.05,217.05,Wednesday,03:25:18,July,Evening,HomeSense T-Shirt,Clothing,Jennifer Munoz,Europe,2022-05-15,492.50999999999993,119.0,5.0,P006,Clothing,Monday,Evening
T00003,C0028,P057,2024-01-25,4,958.8,239.7,Thursday,14:28:34,January,Afternoon,ActiveWear Smartphone,Electronics,Jennifer Pena,Asia,2024-06-29,852.44625,33.0,6.0,P057,Electronics,Thursday,Afternoon
T00013,C0183,P057,2024-03-04,4,958.8,239.7,Monday,22:09:57,March,Evening,ActiveWear Smartphone,Electronics,Kimberly Johnson,North America,2024-01-23,770.0440000000001,75.0,5.0,P052,Clothing,Monday,Afternoon
T00017,C0087,P057,2024-05-09,4,958.8,239.7,Thursday,03:52:43,May,Evening,ActiveWear Smartphone,Electronics,Travis Campbell,South America,2024-04-11,943.4614285714285,136.0,7.0,P029,Books,Monday,Evening
T00046,C0190,P057,2024-07-28,4,958.8,239.7,Sunday,06:29:59,July,Morning,ActiveWear Smartphone,Electronics,Alexander Lowe,South America,2024-05-31,596.604,42.0,5.0,P016,Electronics,Saturday,Morning
T00091,C0200,P057,2024-04-27,1,239.7,239.7,Saturday,19:06:20,April,Evening,ActiveWear Smartphone,Electronics,Kelly Cross,Asia,2023-06-11,951.72,47.0,5.0,P034,Clothing,Monday,Evening
T00161,C0055,P057,2024-07-15,2,479.4,239.7,Monday,07:02:39,July,Morning,ActiveWear Smartphone,Electronics,Lauren Williams,North America,2024-11-11,571.5360000000001,118.0,5.0,P025,Electronics,Tuesday,Morning
T00184,C0188,P057,2024-05-13,2,479.4,239.7,Monday,07:24:49,May,Morning,ActiveWear Smartphone,Electronics,Anna Ball,South America,2022-05-17,888.9150000000001,32.0,7.0,P057,Electronics,Friday,Morning
T00218,C0148,P057,2024-01-17,3,719.1,239.7,Wednesday,19:40:55,January,Evening,ActiveWear Smartphone,Electronics,Matthew Rogers,South America,2023-04-16,1091.558,117.0,5.0,P011,Electronics,Tuesday,Evening
T00417,C0035,P057,2024-04-20,3,719.1,239.7,Saturday,22:54:54,April,Evening,ActiveWear Smartphone,Electronics,Brianna Richardson,North America,2024-10-01,646.9025,119.0,4.0,P013,Electronics,Monday,Evening
T00492,C0120,P057,2024-08-08,3,719.1,239.7,Thursday,05:40:02,August,Morning,ActiveWear Smartphone,Electronics,Francisco Diaz,South America,2023-01-13,823.34,172.0,3.0,P029,Electronics,Monday,Morning
T00605,C0017,P057,2023-12-31,4,958.8,239.7,Sunday,03:27:43,December,Evening,ActiveWear Smartphone,Electronics,Jennifer King,Europe,2023-12-05,594.2275,57.0,8.0,P001,Books,Sunday,Evening
T00615,C0145,P057,2024-07-14,2,479.4,239.7,Sunday,07:45:15,July,Morning,ActiveWear Smartphone,Electronics,Wayne Stone,Asia,2023-01-13,721.40875,62.0,7.0,P080,Clothing,Monday,Morning
T00619,C0028,P057,2024-12-25,2,479.4,239.7,Wednesday,09:53:39,December,Morning,ActiveWear Smartphone,Electronics,Jennifer Pena,Asia,2024-06-29,852.44625,33.0,6.0,P057,Electronics,Thursday,Afternoon
T00703,C0092,P057,2024-02-04,3,719.1,239.7,Sunday,00:31:54,February,Evening,ActiveWear Smartphone,Electronics,Jacqueline Zamora,Asia,2024-05-29,753.9875,42.0,3.0,P036,Clothing,Monday,Evening
T00962,C0188,P057,2024-11-29,2,479.4,239.7,Friday,19:49:24,November,Evening,ActiveWear Smartphone,Electronics,Anna Ball,South America,2022-05-17,888.9150000000001,32.0,7.0,P057,Electronics,Friday,Morning
T00004,C0004,P049,2024-07-19,4,591.8,147.95,Friday,10:56:13,July,Morning,TechPro Textbook,Books,Kathleen Rodriguez,South America,2022-10-09,669.36,35.0,8.0,P008,Books,Monday,Morning
T00105,C0087,P049,2024-02-12,3,443.85,147.95,Monday,08:14:34,February,Morning,TechPro Textbook,Books,Travis Campbell,South America,2024-04-11,943.4614285714285,136.0,7.0,P029,Books,Monday,Evening
T00136,C0010,P049,2024-02-22,2,295.9,147.95,Thursday,18:44:05,February,Evening,TechPro Textbook,Books,Aaron Cox,Europe,2022-12-15,429.38750000000005,72.0,4.0,P014,Clothing,Friday,Evening
T00237,C0065,P049,2024-02-27,2,295.9,147.95,Tuesday,22:16:22,February,Evening,TechPro Textbook,Books,Gerald Hines,North America,2024-07-10,766.37,45.0,10.0,P022,Home Decor,Monday,Evening
T00239,C0132,P049,2024-12-06,2,295.9,147.95,Friday,19:03:54,December,Evening,TechPro Textbook,Books,Lisa Jackson,Europe,2023-02-01,617.0866666666666,52.0,2.0,P049,Books,Sunday,Afternoon
T00310,C0068,P049,2024-05-18,2,295.9,147.95,Saturday,05:03:08,May,Morning,TechPro Textbook,Books,Mark Cox,North America,2023-04-04,743.8025,34.0,8.0,P002,Electronics,Tuesday,Evening
T00470,C0123,P049,2024-11-13,1,147.95,147.95,Wednesday,17:36:31,November,Evening,TechPro Textbook,Books,Jason Johnston,Asia,2023-11-05,700.03,75.0,2.0,P049,Books,Friday,Evening
T00551,C0018,P049,2024-02-23,3,443.85,147.95,Friday,13:28:08,February,Afternoon,TechPro Textbook,Books,Tyler Haynes,North America,2024-09-21,956.3700000000001,177.0,5.0,P027,Books,Friday,Evening
T00563,C0064,P049,2024-01-16,1,147.95,147.95,Tuesday,18:52:43,January,Evening,TechPro Textbook,Books,Martha Montgomery,Europe,2023-10-22,807.954,52.0,5.0,P018,Books,Tuesday,Afternoon
T00567,C0121,P049,2024-09-27,2,295.9,147.95,Friday,23:40:32,September,Evening,TechPro Textbook,Books,Mark Atkinson,Europe,2023-07-23,243.63,122.0,4.0,P022,Books,Friday,Evening
T00620,C0041,P049,2024-01-05,4,591.8,147.95,Friday,18:43:06,January,Evening,TechPro Textbook,Books,Lindsey Deleon,Europe,2023-12-27,878.54,43.0,7.0,P011,Books,Sunday,Evening
T00650,C0070,P049,2024-10-07,4,591.8,147.95,Monday,14:56:13,October,Afternoon,TechPro Textbook,Books,Timothy Perez,Europe,2022-03-15,781.3725,112.0,4.0,P049,Books,Thursday,Afternoon
T00818,C0161,P049,2024-01-01,1,147.95,147.95,Monday,03:54:19,January,Evening,TechPro Textbook,Books,Jessica Warren,Asia,2022-03-14,392.72875,165.0,8.0,P007,Books,Monday,Evening
T00923,C0173,P049,2024-07-19,1,147.95,147.95,Friday,10:31:02,July,Morning,TechPro Textbook,Books,Francisco Young,Asia,2022-10-06,726.005,148.0,8.0,P004,Books,Friday,Afternoon
T00970,C0132,P049,2024-11-17,4,591.8,147.95,Sunday,06:14:00,November,Morning,TechPro Textbook,Books,Lisa Jackson,Europe,2023-02-01,617.0866666666666,52.0,2.0,P049,Books,Sunday,Afternoon
T00005,C0150,P087,2024-05-25,2,580.34,290.17,Saturday,17:44:48,May,Evening,TechPro Running Shoes,Clothing,Angela Williams,South America,2022-09-13,580.34,247.0,1.0,P087,Clothing,Saturday,Evening
T00037,C0176,P087,2024-03-09,4,1160.68,290.17,Saturday,04:58:40,March,Evening,TechPro Running Shoes,Clothing,Nicole Booth,North America,2022-03-23,777.1066666666667,204.0,3.0,P071,Clothing,Friday,Evening
T00206,C0167,P087,2024-05-05,2,580.34,290.17,Sunday,05:32:27,May,Morning,TechPro Running Shoes,Clothing,Brandy Welch,Europe,2024-01-27,766.8066666666667,118.0,3.0,P048,Books,Sunday,Afternoon
T00208,C0184,P087,2024-08-14,1,290.17,290.17,Wednesday,02:02:56,August,Evening,TechPro Running Shoes,Clothing,Tina Jacobs,South America,2022-05-13,484.74000000000007,141.0,6.0,P087,Electronics,Sunday,Afternoon
T00485,C0184,P087,2024-05-13,1,290.17,290.17,Monday,14:33:44,May,Afternoon,TechPro Running Shoes,Clothing,Tina Jacobs,South America,2022-05-13,484.74000000000007,141.0,6.0,P087,Electronics,Sunday,Afternoon
T00488,C0034,P087,2024-10-21,2,580.34,290.17,Monday,12:47:53,October,Afternoon,TechPro Running Shoes,Clothing,Dalton Perez,North America,2023-09-27,512.2,96.0,6.0,P014,Clothing,Wednesday,Evening
T00497,C0053,P087,2024-06-21,4,1160.68,290.17,Friday,02:02:45,June,Evening,TechPro Running Shoes,Clothing,Albert Burke,Europe,2022-06-18,886.0766666666667,87.0,6.0,P006,Clothing,Friday,Evening
T00684,C0102,P087,2024-07-17,1,290.17,290.17,Wednesday,07:26:30,July,Morning,TechPro Running Shoes,Clothing,Michael Atkinson,South America,2022-09-16,766.5450000000001,148.0,7.0,P058,Electronics,Friday,Evening
T00846,C0134,P087,2024-11-10,4,1160.68,290.17,Sunday,10:56:19,November,Morning,TechPro Running Shoes,Clothing,Theresa Gonzalez,Asia,2022-02-19,535.856,48.0,5.0,P006,Clothing,Sunday,Morning
T00875,C0086,P087,2024-09-26,2,580.34,290.17,Thursday,23:20:59,September,Evening,TechPro Running Shoes,Clothing,Stephanie Peterson,Europe,2022-09-18,550.9359999999999,32.0,5.0,P010,Home Decor,Thursday,Evening
T00880,C0036,P087,2024-11-02,3,870.51,290.17,Saturday,12:20:39,November,Afternoon,TechPro Running Shoes,Clothing,Brian Aguilar DDS,North America,2024-07-06,625.9866666666667,86.0,3.0,P001,Books,Saturday,Afternoon
T00953,C0056,P087,2024-03-07,2,580.34,290.17,Thursday,21:09:48,March,Evening,TechPro Running Shoes,Clothing,Erika Fernandez,Asia,2024-04-12,636.588,33.0,5.0,P024,Clothing,Wednesday,Evening
T00006,C0076,P053,2024-12-01,3,824.82,274.94,Sunday,20:44:37,December,Evening,TechPro Rug,Home Decor,Emily Roberts,South America,2024-02-11,466.61199999999997,57.0,5.0,P019,Home Decor,Wednesday,Evening
T00010,C0194,P053,2024-03-14,1,274.94,274.94,Thursday,11:55:39,March,Morning,TechPro Rug,Home Decor,Stacy Cook,North America,2024-05-04,552.7385714285714,97.0,7.0,P005,Books,Sunday,Evening
T00175,C0146,P053,2024-12-18,3,824.82,274.94,Wednesday,18:28:33,December,Evening,TechPro Rug,Home Decor,Brittany Harvey,Asia,2024-09-04,642.7,40.0,4.0,P029,Electronics,Friday,Evening
T00269,C0124,P053,2024-02-06,4,1099.76,274.94,Tuesday,16:22:41,February,Afternoon,TechPro Rug,Home Decor,Lindsay Perez,Europe,2024-08-26,609.1899999999999,112.0,7.0,P006,Home Decor,Saturday,Afternoon
T00293,C0053,P053,2024-07-11,3,824.82,274.94,Thursday,15:32:56,July,Afternoon,TechPro Rug,Home Decor,Albert Burke,Europe,2022-06-18,886.0766666666667,87.0,6.0,P006,Clothing,Friday,Evening
T00568,C0065,P053,2024-09-18,1,274.94,274.94,Wednesday,05:00:38,September,Morning,TechPro Rug,Home Decor,Gerald Hines,North America,2024-07-10,766.37,45.0,10.0,P022,Home Decor,Monday,Evening
T00602,C0024,P053,2024-04-26,1,274.94,274.94,Friday,11:26:53,April,Morning,TechPro Rug,Home Decor,Michele Cooley,North America,2024-02-05,518.1457142857142,125.0,7.0,P001,Books,Sunday,Evening
T00744,C0004,P053,2024-03-11,4,1099.76,274.94,Monday,09:25:22,March,Morning,TechPro Rug,Home Decor,Kathleen Rodriguez,South America,2022-10-09,669.36,35.0,8.0,P008,Books,Monday,Morning
T00952,C0139,P053,2024-10-06,1,274.94,274.94,Sunday,06:02:45,October,Morning,TechPro Rug,Home Decor,Ricky Gutierrez,North America,2022-03-14,462.955,113.0,8.0,P006,Books,Wednesday,Morning
T00968,C0133,P053,2024-12-05,4,1099.76,274.94,Thursday,17:47:19,December,Evening,TechPro Rug,Home Decor,Gwendolyn Carter,South America,2023-03-11,721.0825,53.0,4.0,P023,Clothing,Thursday,Evening
T00007,C0173,P023,2024-05-06,4,1818.12,454.53,Monday,18:05:22,May,Evening,ActiveWear Cookware Set,Home Decor,Francisco Young,Asia,2022-10-06,726.005,148.0,8.0,P004,Books,Friday,Afternoon
T00089,C0076,P023,2024-06-19,1,454.53,454.53,Wednesday,23:01:44,June,Evening,ActiveWear Cookware Set,Home Decor,Emily Roberts,South America,2024-02-11,466.61199999999997,57.0,5.0,P019,Home Decor,Wednesday,Evening
T00158,C0012,P023,2024-05-30,2,909.06,454.53,Thursday,03:34:49,May,Evening,ActiveWear Cookware Set,Home Decor,Kevin May,South America,2024-08-07,747.3228571428571,33.0,6.0,P023,Home Decor,Sunday,Evening
T00349,C0184,P023,2024-04-18,1,454.53,454.53,Thursday,14:56:50,April,Afternoon,ActiveWear Cookware Set,Home Decor,Tina Jacobs,South America,2022-05-13,484.74000000000007,141.0,6.0,P087,Electronics,Sunday,Afternoon
T00455,C0128,P023,2024-01-08,1,454.53,454.53,Monday,16:14:35,January,Afternoon,ActiveWear Cookware Set,Home Decor,Henry Leach,Asia,2023-05-29,386.595,246.0,2.0,P023,Home Decor,Monday,Afternoon
T00501,C0158,P023,2024-09-04,3,1363.59,454.53,Wednesday,16:19:42,September,Afternoon,ActiveWear Cookware Set,Home Decor,Wendy Browning,South America,2023-04-12,929.13,137.0,4.0,P021,Home Decor,Thursday,Afternoon
T00721,C0012,P023,2024-12-08,3,1363.59,454.53,Sunday,09:46:41,December,Morning,ActiveWear Cookware Set,Home Decor,Kevin May,South America,2024-08-07,747.3228571428571,33.0,6.0,P023,Home Decor,Sunday,Evening
T00749,C0133,P023,2024-06-20,2,909.06,454.53,Thursday,19:04:58,June,Evening,ActiveWear Cookware Set,Home Decor,Gwendolyn Carter,South America,2023-03-11,721.0825,53.0,4.0,P023,Clothing,Thursday,Evening
T00997,C0164,P023,2024-11-01,4,1818.12,454.53,Friday,23:04:56,November,Evening,ActiveWear Cookware Set,Home Decor,Morgan Perez,Europe,2023-06-01,617.538,87.0,5.0,P004,Home Decor,Sunday,Afternoon
T00008,C0067,P069,2024-10-17,1,100.81,100.81,Thursday,00:45:17,October,Evening,BookWorld Biography,Books,Carl Gonzalez,North America,2023-07-06,681.8066666666667,102.0,6.0,P002,Clothing,Thursday,Evening
T00035,C0142,P069,2024-08-20,2,201.62,100.81,Tuesday,15:26:04,August,Afternoon,BookWorld Biography,Books,Nicole Long DVM,Asia,2024-02-08,559.76,34.0,4.0,P040,Books,Tuesday,Afternoon
T00140,C0121,P069,2024-03-18,2,201.62,100.81,Monday,09:16:33,March,Morning,BookWorld Biography,Books,Mark Atkinson,Europe,2023-07-23,243.63,122.0,4.0,P022,Books,Friday,Evening
T00187,C0032,P069,2024-02-24,1,100.81,100.81,Saturday,09:30:35,February,Morning,BookWorld Biography,Books,Dustin Campbell,South America,2024-04-17,224.33333333333334,61.0,3.0,P033,Books,Friday,Morning
T00194,C0063,P069,2024-09-28,1,100.81,100.81,Saturday,06:07:52,September,Morning,BookWorld Biography,Books,Wayne Ferguson,Europe,2024-02-05,689.0849999999999,121.0,2.0,P069,Books,Monday,Afternoon
T00228,C0113,P069,2024-04-21,2,201.62,100.81,Sunday,19:52:01,April,Evening,BookWorld Biography,Books,Joseph Ortiz Jr.,South America,2022-06-17,601.5125,61.0,7.0,P078,Home Decor,Sunday,Evening
T00232,C0136,P069,2024-11-10,3,302.43,100.81,Sunday,22:04:36,November,Evening,BookWorld Biography,Books,Kristen Holder,Asia,2024-03-14,716.4983333333333,78.0,6.0,P011,Home Decor,Tuesday,Evening
T00355,C0017,P069,2024-01-12,2,201.62,100.81,Friday,20:20:37,January,Evening,BookWorld Biography,Books,Jennifer King,Europe,2023-12-05,594.2275,57.0,8.0,P001,Books,Sunday,Evening
T00448,C0194,P069,2024-10-22,2,201.62,100.81,Tuesday,08:13:50,October,Morning,BookWorld Biography,Books,Stacy Cook,North America,2024-05-04,552.7385714285714,97.0,7.0,P005,Books,Sunday,Evening
T00561,C0172,P069,2024-05-14,1,100.81,100.81,Tuesday,14:21:56,May,Afternoon,BookWorld Biography,Books,Jamie Webb,Europe,2024-09-09,366.95,67.0,6.0,P003,Home Decor,Tuesday,Afternoon
T00828,C0068,P069,2024-06-04,4,403.24,100.81,Tuesday,21:07:05,June,Evening,BookWorld Biography,Books,Mark Cox,North America,2023-04-04,743.8025,34.0,8.0,P002,Electronics,Tuesday,Evening
T00852,C0125,P069,2024-08-24,3,302.43,100.81,Saturday,09:50:55,August,Morning,BookWorld Biography,Books,Nicholas Taylor,North America,2022-12-18,743.49,156.0,4.0,P010,Books,Tuesday,Evening
T00009,C0086,P095,2024-04-06,4,909.04,227.26,Saturday,03:41:22,April,Evening,BookWorld Cookware Set,Home Decor,Stephanie Peterson,Europe,2022-09-18,550.9359999999999,32.0,5.0,P010,Home Decor,Thursday,Evening
T00155,C0002,P095,2024-07-12,2,454.52,227.26,Friday,10:18:13,July,Morning,BookWorld Cookware Set,Home Decor,Elizabeth Lutz,Asia,2022-02-13,465.685,55.0,4.0,P004,Clothing,Tuesday,Evening
T00644,C0008,P095,2024-06-13,1,227.26,227.26,Thursday,09:13:19,June,Morning,BookWorld Cookware Set,Home Decor,David Li,North America,2024-01-13,427.16099999999994,41.0,10.0,P004,Home Decor,Monday,Evening
T00685,C0017,P095,2024-05-11,2,454.52,227.26,Saturday,17:59:31,May,Evening,BookWorld Cookware Set,Home Decor,Jennifer King,Europe,2023-12-05,594.2275,57.0,8.0,P001,Books,Sunday,Evening
T00800,C0122,P095,2024-08-25,3,681.78,227.26,Sunday,16:04:54,August,Afternoon,BookWorld Cookware Set,Home Decor,Corey Ruiz,North America,2022-05-06,724.65,41.0,7.0,P010,Books,Tuesday,Evening
T00961,C0109,P095,2024-11-02,3,681.78,227.26,Saturday,01:55:05,November,Evening,BookWorld Cookware Set,Home Decor,Abigail Jones,North America,2022-05-09,498.84090909090907,81.0,10.0,P100,Clothing,Saturday,Evening
T00965,C0071,P095,2024-08-23,4,909.04,227.26,Friday,15:53:27,August,Afternoon,BookWorld Cookware Set,Home Decor,Taylor Murphy,South America,2022-07-01,466.9433333333333,157.0,3.0,P001,Books,Friday,Afternoon
T00011,C0162,P062,2024-04-03,1,374.16,374.16,Wednesday,03:46:50,April,Evening,HomeSense Novel,Books,Edwin Watson,Asia,2022-03-29,600.28,71.0,8.0,P009,Electronics,Monday,Evening
T00041,C0141,P062,2024-02-13,4,1496.64,374.16,Tuesday,23:56:36,February,Evening,HomeSense Novel,Books,Paul Parsons,Europe,2023-02-23,1067.387,55.0,10.0,P025,Clothing,Tuesday,Evening
T00146,C0155,P062,2024-07-24,2,748.32,374.16,Wednesday,07:11:44,July,Morning,HomeSense Novel,Books,Michelle Brown,South America,2023-03-23,768.2614285714286,77.0,7.0,P026,Books,Wednesday,Evening
T00190,C0156,P062,2024-09-25,2,748.32,374.16,Wednesday,19:36:27,September,Evening,HomeSense Novel,Books,William Adams,North America,2023-08-19,694.040909090909,43.0,10.0,P059,Books,Saturday,Afternoon
T00221,C0188,P062,2024-02-28,4,1496.64,374.16,Wednesday,14:14:44,February,Afternoon,HomeSense Novel,Books,Anna Ball,South America,2022-05-17,888.9150000000001,32.0,7.0,P057,Electronics,Friday,Morning
T00230,C0064,P062,2024-12-06,1,374.16,374.16,Friday,16:22:54,December,Afternoon,HomeSense Novel,Books,Martha Montgomery,Europe,2023-10-22,807.954,52.0,5.0,P018,Books,Tuesday,Afternoon
T00364,C0183,P062,2024-06-16,2,748.32,374.16,Sunday,08:22:06,June,Morning,HomeSense Novel,Books,Kimberly Johnson,North America,2024-01-23,770.0440000000001,75.0,5.0,P052,Clothing,Monday,Afternoon
T00533,C0191,P062,2024-07-12,4,1496.64,374.16,Friday,10:33:55,July,Morning,HomeSense Novel,Books,Samantha Gibson DVM,South America,2024-04-07,599.594,46.0,5.0,P001,Books,Thursday,Morning
T00570,C0147,P062,2024-12-25,1,374.16,374.16,Wednesday,00:52:54,December,Evening,HomeSense Novel,Books,Hunter Fuller,South America,2022-05-16,327.6044444444444,33.0,9.0,P018,Books,Saturday,Evening
T00640,C0087,P062,2024-09-13,3,1122.48,374.16,Friday,23:20:18,September,Evening,HomeSense Novel,Books,Travis Campbell,South America,2024-04-11,943.4614285714285,136.0,7.0,P029,Books,Monday,Evening
T00649,C0028,P062,2024-01-23,3,1122.48,374.16,Tuesday,07:39:44,January,Morning,HomeSense Novel,Books,Jennifer Pena,Asia,2024-06-29,852.44625,33.0,6.0,P057,Electronics,Thursday,Afternoon
T00664,C0138,P062,2024-10-02,4,1496.64,374.16,Wednesday,22:44:16,October,Evening,HomeSense Novel,Books,Cynthia Clayton,Asia,2024-11-01,1122.05,40.0,4.0,P079,Home Decor,Friday,Evening
T00692,C0153,P062,2024-06-30,2,748.32,374.16,Sunday,22:09:50,June,Evening,HomeSense Novel,Books,Justin Smith,South America,2022-03-20,790.7983333333333,138.0,6.0,P003,Books,Friday,Morning
T00723,C0043,P062,2024-06-12,2,748.32,374.16,Wednesday,01:39:05,June,Evening,HomeSense Novel,Books,Sandy Short MD,Asia,2023-02-05,377.10666666666674,130.0,3.0,P051,Books,Thursday,Evening
T00725,C0135,P062,2024-10-03,2,748.32,374.16,Thursday,20:53:23,October,Evening,HomeSense Novel,Books,Toni Weaver,Europe,2022-08-23,783.895,116.0,4.0,P003,Books,Thursday,Evening
T00944,C0122,P062,2024-10-08,2,748.32,374.16,Tuesday,19:57:08,October,Evening,HomeSense Novel,Books,Corey Ruiz,North America,2022-05-06,724.65,41.0,7.0,P010,Books,Tuesday,Evening
T00012,C0091,P041,2024-03-29,4,1825.12,456.28,Friday,01:28:17,March,Evening,ComfortLiving Smartphone,Electronics,Lisa Kirk,South America,2023-03-16,522.9433333333333,167.0,5.0,P026,Electronics,Tuesday,Evening
T00034,C0168,P041,2024-01-09,4,1825.12,456.28,Tuesday,11:00:50,January,Morning,ComfortLiving Smartphone,Electronics,Karen Clements MD,South America,2022-12-13,1263.4575,96.0,4.0,P039,Books,Monday,Afternoon
T00094,C0012,P041,2024-07-14,4,1825.12,456.28,Sunday,19:37:54,July,Evening,ComfortLiving Smartphone,Electronics,Kevin May,South America,2024-08-07,747.3228571428571,33.0,6.0,P023,Home Decor,Sunday,Evening
T00231,C0069,P041,2024-08-27,2,912.56,456.28,Tuesday,19:54:49,August,Evening,ComfortLiving Smartphone,Electronics,Stacy Foster,Europe,2023-12-03,575.738,49.0,5.0,P010,Electronics,Thursday,Evening
T00236,C0184,P041,2024-02-25,1,456.28,456.28,Sunday,14:08:11,February,Afternoon,ComfortLiving Smartphone,Electronics,Tina Jacobs,South America,2022-05-13,484.74000000000007,141.0,6.0,P087,Electronics,Sunday,Afternoon
